,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
93438,gdb_93439,CC1CNC(=O)NC1=N,2.44971,1.53278,1.12362,2.2448,74.8,-0.2534,0.003,0.2563,1113.3178,0.150606,-435.338504,-435.330135,-435.32919,-435.371534,31.74
105731,gdb_105732,OCC1(COC=N1)C#N,2.35791,1.51611,1.20093,4.7159,65.7,-0.2801,-0.0188,0.2613,1049.2016,0.113375,-453.957514,-453.949352,-453.948408,-453.990815,29.289
97220,gdb_97221,CN=C1N(CCO1)C=O,1.99312,1.78039,0.96729,5.4099,74.36,-0.2406,-0.0069,0.2337,1192.7861,0.136042,-455.175814,-455.166913,-455.165969,-455.210345,30.694
13028,gdb_13029,OC1COC2CC12O,2.57896,2.5135,1.63199,1.9921,59.55,-0.2309,0.0588,0.2896,815.1089,0.130182,-420.84639,-420.838964,-420.83802,-420.877678,28.698
123052,gdb_123053,COCCCC1CCC1,6.28294,0.50231,0.48269,0.9472,91.26,-0.2495,0.0884,0.3379,2357.5736,0.22831,-389.474585,-389.463946,-389.463002,-389.511635,37.969
10740,gdb_10741,CC(N)(C#N)C1CC1,2.94731,1.65818,1.40612,4.5297,71.61,-0.2643,0.0309,0.2952,972.1078,0.153337,-343.978596,-343.969894,-343.96895,-344.011443,32.662
99641,gdb_99642,CCC(C#N)N1CC1C,1.87979,1.49038,0.91649,4.0743,83.5,-0.245,0.0304,0.2754,1334.7728,0.18106,-383.25814,-383.248051,-383.247107,-383.293328,36.663
124401,gdb_124402,CC(C#C)C1=NOC=N1,3.21466,1.22852,0.99249,0.8261,71.32,-0.2708,-0.0283,0.2425,1173.2615,0.111824,-416.774104,-416.765845,-416.764901,-416.807839,29.761
104349,gdb_104350,OCC1(O)COC=NC1,3.27588,1.26409,1.12268,4.1378,68.05,-0.2438,0.0306,0.2744,1116.0564,0.148094,-476.222753,-476.214124,-476.21318,-476.255816,32.505
112543,gdb_112544,CCC1NC(C)(C)C1=O,2.60593,1.09464,0.96324,2.4385,83.63,-0.2363,-0.0198,0.2165,1387.7105,0.191597,-404.361524,-404.351037,-404.350093,-404.397073,38.248
53298,gdb_53299,CC#CC1CN1CC#C,2.11456,1.26325,0.9197,1.364,86.21,-0.2226,0.032,0.2546,1333.6434,0.144474,-364.71546,-364.705363,-364.704419,-364.75175,35.485
54155,gdb_54156,CC(=O)C1(C)CC1C#N,2.16144,1.45611,1.09921,4.0819,77.62,-0.2569,-0.031,0.2259,1164.8937,0.145458,-401.976994,-401.967491,-401.966547,-402.011356,34.64
45130,gdb_45131,O=C1CC2CC2CC=C1,2.69914,1.53684,1.06823,3.5802,81.8,-0.2355,-0.0477,0.1879,1129.343,0.161606,-385.909182,-385.9016,-385.900656,-385.94118,30.336
106534,gdb_106535,CCC12CC(C1O)C2=O,2.1328,1.55908,1.12621,2.7758,75.56,-0.2347,-0.0016,0.2331,1154.2628,0.157769,-422.993075,-422.983962,-422.983018,-423.027089,33.871
80199,gdb_80200,CC1C2OC(=N)C12C#N,2.22559,1.61664,1.20821,4.809,72.85,-0.2869,-0.0127,0.2743,1056.8814,0.112182,-416.791942,-416.783887,-416.782943,-416.824636,29.751
107853,gdb_107854,OCC12CC3C(CN13)C2,3.36816,1.39659,1.33765,0.6616,78.05,-0.2265,0.0671,0.2936,1045.9985,0.173138,-403.090544,-403.08303,-403.082086,-403.122507,30.4
85256,gdb_85257,CC1CC2(CN2)C(=N)O1,2.47221,1.61011,1.20116,4.1512,76.82,-0.2501,0.0204,0.2705,1094.0807,0.160559,-419.20569,-419.197425,-419.19648,-419.238586,31.892
44599,gdb_44600,N=C1OC2C3OCC1C23,2.9953,1.94585,1.54848,2.8994,67.89,-0.241,0.0176,0.2586,872.0171,0.127379,-437.879217,-437.872934,-437.87199,-437.9099,25.573
19653,gdb_19654,O=C1C2CC3CN2C13,4.63255,2.11344,1.95852,3.4311,64.14,-0.2453,-0.0224,0.2229,719.3217,0.12154,-362.615641,-362.610102,-362.609158,-362.645105,22.731
100841,gdb_100842,OCC(O)C(O)CC=O,4.11108,0.7291,0.64714,3.9339,69.16,-0.2484,-0.0175,0.2309,1667.5207,0.155357,-497.294349,-497.28363,-497.282686,-497.331001,37.441
108020,gdb_108021,CCC12CC3C4C3C1C24,3.77904,1.36964,1.25906,0.0668,84.2,-0.2152,0.0892,0.3045,1096.3299,0.184164,-349.91834,-349.910811,-349.909867,-349.950191,31.111
109268,gdb_109269,C1C=CC=CC(=C1)CO,3.21338,1.17825,0.92968,1.3764,87.33,-0.2112,-0.0255,0.1857,1273.5313,0.160365,-385.902509,-385.89404,-385.893096,-385.935573,32.412
36343,gdb_36344,C#CCC1OC11COC1,5.62528,0.80438,0.76518,1.5445,74.85,-0.2573,0.042,0.2993,1468.3755,0.133335,-421.741784,-421.732989,-421.732045,-421.776084,31.901
54370,gdb_54371,CC(=O)C12C3CC1CC23,3.10634,1.34707,1.25289,2.8813,80.98,-0.2358,-0.0094,0.2263,1098.6322,0.159346,-385.86683,-385.85875,-385.857806,-385.899974,30.867
79754,gdb_79755,OC1C2C3OC3CC12O,2.52723,1.7879,1.41184,1.9209,66.34,-0.2319,0.0626,0.2944,951.5639,0.136155,-458.925217,-458.917789,-458.916845,-458.956621,30.22
6551,gdb_6552,CC1OC1C(C)(C)C,3.02527,1.49137,1.35713,1.6819,78.14,-0.2541,0.0777,0.3317,1076.4398,0.197588,-350.196555,-350.186809,-350.185865,-350.230462,36.548
70456,gdb_70457,CC12CC1CN2CC#N,3.46721,1.06042,0.94373,4.603,80.6,-0.231,0.0266,0.2575,1287.3393,0.158782,-382.039145,-382.030362,-382.029418,-382.072901,32.862
42597,gdb_42598,O=C1C2C3C4CC2C1C34,3.8957,1.68005,1.57797,3.1416,74.07,-0.2308,0.0047,0.2356,878.0474,0.139745,-384.6967,-384.690837,-384.689893,-384.726753,25.224
94647,gdb_94648,CC1CCC1COC=O,3.6312,0.79494,0.72406,4.2744,80.13,-0.2748,0.0114,0.2862,1605.5017,0.181518,-424.240314,-424.230615,-424.229671,-424.276406,34.618
125132,gdb_125133,Cc1c(cno1)OC=O,3.28158,1.1239,0.87044,1.5137,66.08,-0.263,-0.0328,0.2303,1244.9258,0.099336,-473.834237,-473.82593,-473.824986,-473.868593,28.418
77813,gdb_77814,CC1C2C(=N)OCC12C,2.36523,1.51634,1.31387,3.3588,80.9,-0.2486,0.0284,0.277,1103.3134,0.171557,-403.16861,-403.159921,-403.158977,-403.201514,33.385
105992,gdb_105993,CCC12C3C4N3C1C24O,2.71271,1.57868,1.20161,1.2325,74.73,-0.2061,0.0614,0.2675,1077.246,0.146255,-401.820814,-401.812709,-401.811765,-401.853518,31.351
72898,gdb_72899,CC12CC3OC3C1CO2,2.79654,1.77969,1.43156,2.8032,73.46,-0.2403,0.0825,0.3228,972.3107,0.159986,-423.006196,-422.998718,-422.997773,-423.037815,30.03
122943,gdb_122944,COCCOC(C)C=O,3.82454,0.61686,0.5965,3.3509,77.64,-0.2528,-0.0261,0.2268,1943.7664,0.177748,-461.348241,-461.337032,-461.336087,-461.386619,37.623
66913,gdb_66914,CC12C3CC(O)(C13)C2=O,2.64455,1.76762,1.29018,4.4823,72.67,-0.2319,0.0092,0.2411,1003.417,0.134655,-421.798401,-421.790288,-421.789344,-421.830582,31.441
111965,gdb_111966,COC1C=CC(C)C1=O,3.02387,1.20917,0.94912,3.1905,78.42,-0.2385,-0.0235,0.215,1287.1039,0.157433,-423.039955,-423.030586,-423.029641,-423.074978,33.592
68198,gdb_68199,OC12CC(C1)C(C2)C#C,3.60568,1.19348,1.11418,0.6966,80.82,-0.2528,0.0512,0.3039,1147.4975,0.159617,-385.848227,-385.84018,-385.839236,-385.880371,32.718
1908,gdb_1909,CC12CN1C(=O)C2,5.86536,2.25478,1.97308,4.1201,57.82,-0.2458,-0.0083,0.2375,677.1084,0.112973,-324.564634,-324.558215,-324.557271,-324.594681,24.059
86902,gdb_86903,CC1CC(CC2CC2)C1,5.08965,0.66419,0.64989,0.1523,94.11,-0.2657,0.0898,0.3555,1874.5347,0.229124,-352.341464,-352.331674,-352.33073,-352.3769,37.316
128339,gdb_128340,CNc1c(n[nH]n1)CO,1.99067,1.69673,0.96052,1.1335,71.79,-0.2028,0.0053,0.2081,1200.5566,0.137883,-451.320251,-451.311327,-451.310383,-451.354133,32.029
34119,gdb_34120,N#CC12CC3C(CC13)C2,3.39089,1.4653,1.3672,4.4412,80.13,-0.2912,0.0268,0.318,995.4305,0.15101,-364.801361,-364.794704,-364.79376,-364.832245,27.694
121719,gdb_121720,C(CO)NC(=O)NC=N,4.05592,0.68572,0.61549,3.4005,75.25,-0.2447,0.0111,0.2557,1781.2418,0.147694,-472.443002,-472.432895,-472.431951,-472.479629,35.004
33029,gdb_33030,c1cnc(nc1)CCO,4.71411,0.89955,0.80736,2.6534,76.95,-0.2468,-0.0382,0.2086,1401.1011,0.137803,-418.057155,-418.048861,-418.047917,-418.091514,29.665
26639,gdb_26640,Cc1c(c[nH]c1O)C#N,3.25444,1.27284,0.92021,5.5947,75.23,-0.208,-0.0042,0.2039,1182.9867,0.112859,-416.868259,-416.859384,-416.85844,-416.902419,31.622
92582,gdb_92583,OC1CC2CCC=CC12,2.63462,1.56296,1.30937,1.4468,83.5,-0.2399,0.0146,0.2544,1072.8696,0.184828,-387.094806,-387.086708,-387.085764,-387.127263,32.25
119364,gdb_119365,COCC12CC(C1)C2=O,3.43646,1.01712,0.90165,2.421,77.44,-0.2409,0.0132,0.254,1348.8196,0.158417,-422.981347,-422.972549,-422.971604,-423.015643,32.022
59153,gdb_59154,CC(C)C1C2N1CC2=O,2.78776,1.19405,1.05714,2.4994,79.56,-0.2415,-0.0236,0.2179,1240.7335,0.169645,-403.124351,-403.115346,-403.114402,-403.158253,34.021
65772,gdb_65773,CC1(CC=O)CCCO1,3.04903,1.04146,0.99253,3.8812,78.87,-0.2387,-0.016,0.2227,1309.7446,0.181132,-424.250774,-424.241263,-424.240319,-424.286035,34.768
37040,gdb_37041,C1C23CCC12CCCC3,2.6521,1.64842,1.35436,0.4586,88.26,-0.2259,0.0825,0.3084,1079.3609,0.209363,-351.149628,-351.141982,-351.141038,-351.181197,32.33
91740,gdb_91741,CC1OC2CC1OC2C,2.92191,1.47489,1.37823,1.1799,77.5,-0.2383,0.0912,0.3296,1070.9621,0.18377,-424.241748,-424.233675,-424.232731,-424.273893,32.375
97163,gdb_97164,CN=C1OCC2CCN12,3.24299,1.38891,1.07614,3.5798,78.78,-0.2176,0.0492,0.2668,1159.6416,0.16105,-419.20023,-419.191883,-419.190939,-419.234077,30.32
102140,gdb_102141,CCC(CC#C)C(C)=O,2.1462,1.05319,0.84478,2.2282,85.17,-0.2442,-0.0185,0.2256,1471.4133,0.178345,-387.086172,-387.075091,-387.074147,-387.123981,39.106
107341,gdb_107342,COC12CC1C=CCC2,3.25745,1.30534,1.08896,1.2115,83.89,-0.2229,0.0206,0.2435,1187.7205,0.183473,-387.083174,-387.0747,-387.073756,-387.115925,33.322
34603,gdb_34604,N#CC1=CCC2NC2C1,3.7563,1.18231,0.98401,5.6503,80.36,-0.2522,-0.0321,0.2201,1182.3384,0.13888,-380.882628,-380.87512,-380.874176,-380.914803,28.935
106065,gdb_106066,CCC12C3CC1(O)CN23,2.43222,1.61291,1.33978,1.927,78.44,-0.2225,0.066,0.2886,1070.6236,0.170373,-403.087798,-403.079071,-403.078127,-403.121143,33.397
52579,gdb_52580,CC#CC(C#C)C(C)C,2.02698,1.06367,0.7268,0.7342,93.78,-0.2462,0.0405,0.2867,1618.992,0.178096,-349.904644,-349.893175,-349.892231,-349.9427,40.389
75999,gdb_76000,CC1(C#C)C(N)C1C#N,2.63377,1.19303,1.07111,3.5175,81.71,-0.238,0.0031,0.241,1192.1629,0.13379,-380.834,-380.824187,-380.823243,-380.868329,35.797
20291,gdb_20292,C1CN1C1C2CC1C2,5.11764,1.54411,1.45069,1.0887,75.9,-0.2218,0.0943,0.3161,935.3111,0.167387,-327.833917,-327.827147,-327.826203,-327.865008,27.097
83267,gdb_83268,OC1C2CCC(O)C12O,1.84366,1.77907,1.57247,2.4981,69.86,-0.2426,0.0564,0.299,1013.6445,0.159503,-460.149613,-460.140974,-460.140029,-460.182274,33.968
128189,gdb_128190,CNc1cc(no1)C#C,7.11426,0.87545,0.78533,4.1819,80.04,-0.213,-0.0183,0.1947,1398.9677,0.111761,-416.765432,-416.756809,-416.755865,-416.79892,31.24
92290,gdb_92291,CC1OC2CN=COC12,2.70836,1.71693,1.35861,2.3499,71.72,-0.2446,0.0224,0.267,995.0536,0.149082,-439.081602,-439.073838,-439.072894,-439.114399,29.233
31399,gdb_31400,CCc1cc(=O)ocn1,3.57881,1.14127,0.91979,3.1836,74.82,-0.2602,-0.0629,0.1973,1251.214,0.12486,-437.956907,-437.948878,-437.947933,-437.990104,29.349
55732,gdb_55733,NC(=O)CC1(CN1)C=O,2.22917,1.52773,1.04534,2.0749,69.38,-0.2496,-0.0405,0.2091,1141.5414,0.135598,-455.165428,-455.156487,-455.155543,-455.199541,32.719
107585,gdb_107586,CCC12OC1CNC2=O,2.69592,1.58642,1.13811,3.72,72.03,-0.2399,0.0119,0.2518,1097.842,0.148148,-439.115928,-439.107523,-439.106579,-439.148945,31.562
87925,gdb_87926,CC1NC11COC(=O)C1,3.58687,1.08302,1.00873,3.7866,72.27,-0.2566,0.0107,0.2672,1230.176,0.148165,-439.10913,-439.100856,-439.099912,-439.142357,31.081
53908,gdb_53909,NC(=O)C(C#C)C1CN1,2.12749,1.55818,1.04883,4.4761,74.38,-0.2327,0.0138,0.2465,1151.5756,0.135181,-417.976197,-417.966981,-417.966037,-418.010518,34.039
52642,gdb_52643,CC#CC(C)C(=O)C#C,1.96036,1.156,0.80299,2.9361,84.33,-0.2456,-0.0586,0.1871,1459.4564,0.131154,-384.647557,-384.636744,-384.6358,-384.686371,36.438
10814,gdb_10815,CC1COC(=O)C=C1,4.97711,1.52554,1.21822,4.9899,67.62,-0.2622,-0.0461,0.2161,970.2162,0.131475,-383.789518,-383.782269,-383.781324,-383.821021,27.157
122626,gdb_122627,CC1OCC1OCCO,3.23638,0.87468,0.74167,1.2617,75.71,-0.251,0.068,0.319,1557.5582,0.180776,-461.329498,-461.319447,-461.318503,-461.366079,35.509
23244,gdb_23245,CN1C2C1C(=NO)C2O,2.77437,1.34841,1.12097,1.3037,72.72,-0.2379,-0.007,0.2309,1120.8945,0.134439,-455.036241,-455.027554,-455.02661,-455.069379,32.732
83129,gdb_83130,CC1C2CCC(=O)C12O,2.07687,1.727,1.35832,2.8015,75.86,-0.2374,-0.0223,0.2152,1056.4781,0.158961,-423.048277,-423.039647,-423.038703,-423.081256,33.147
49246,gdb_49247,O=CC1=CNC2CCC12,2.93316,1.45538,1.07608,5.373,82.14,-0.2041,-0.0278,0.1763,1116.4633,0.149445,-401.964316,-401.956533,-401.955588,-401.996991,29.713
60324,gdb_60325,CN(C)CCC(=O)C#N,3.97874,0.68884,0.61486,3.8341,78.96,-0.227,-0.0856,0.1415,1788.0233,0.156492,-419.21116,-419.200767,-419.199823,-419.247916,35.772
7173,gdb_7174,OCCC(O)CC#N,6.84458,0.79747,0.74683,4.3776,65.49,-0.275,0.0268,0.3017,1448.4144,0.140262,-401.005008,-400.995527,-400.994583,-401.039845,32.664
106659,gdb_106660,OCC12CC1(O)C(=N)O2,2.76568,1.30712,1.05337,1.157,67.48,-0.2631,0.0117,0.2748,1143.5281,0.12247,-474.976757,-474.967993,-474.967049,-475.010448,32.335
115064,gdb_115065,CCC1OC=NC2CC12,3.22346,1.31169,1.03545,2.2271,79.51,-0.2317,0.0209,0.2526,1202.2389,0.172339,-403.154919,-403.1466,-403.145656,-403.188014,31.889
96547,gdb_96548,CC1CCCOCC1O,2.17554,1.4931,1.1564,1.2111,81.71,-0.2395,0.0678,0.3073,1200.4831,0.206923,-425.431212,-425.421926,-425.420982,-425.464672,36.148
86486,gdb_86487,CN1CC(C1)(C=O)C#C,2.18098,1.41155,0.99773,1.4997,80.37,-0.223,-0.0368,0.1862,1229.0013,0.144531,-401.891292,-401.881783,-401.880839,-401.926183,34.22
86906,gdb_86907,CC1CC(CN2CC2)C1,5.17249,0.69257,0.67835,0.9976,91.3,-0.2291,0.0887,0.3178,1792.542,0.217436,-368.375183,-368.365601,-368.364657,-368.410334,36.199
1507,gdb_1508,CCOC(=O)C=O,4.91691,1.67289,1.26797,1.9397,52.13,-0.2649,-0.084,0.1809,899.3761,0.099196,-381.624797,-381.616995,-381.61605,-381.658026,25.381
23306,gdb_23307,NC1=CC(=NO)C2OC12,3.05469,1.3115,0.96835,3.1351,76.02,-0.2002,-0.0241,0.1762,1157.5742,0.112976,-453.890337,-453.882557,-453.881613,-453.922393,30.344
43382,gdb_43383,O=C1C=CCC2CCC12,2.44017,1.77115,1.14175,3.6309,81.48,-0.2302,-0.0479,0.1823,1083.0927,0.161733,-385.915014,-385.907447,-385.906503,-385.947518,29.604
66280,gdb_66281,OC1(CCNC1=O)C#C,2.06396,1.6672,1.42157,3.7432,70.53,-0.2498,0.007,0.2568,1012.0366,0.124043,-437.891591,-437.883105,-437.88216,-437.92448,32.177
123245,gdb_123246,CCCCCCCCC,9.34438,0.34396,0.33796,0.0602,102.1,-0.2924,0.09,0.3824,3374.7532,0.273794,-354.783239,-354.770786,-354.769842,-354.822325,43.999
55892,gdb_55893,NC(=O)OC1CC1C#C,2.50959,1.22222,1.00681,2.1635,71.51,-0.2436,0.0421,0.2857,1216.07,0.122342,-437.877597,-437.868442,-437.867498,-437.912486,33.502
97862,gdb_97863,OCC#CC1CCCO1,3.38664,0.76921,0.73734,1.9505,79.8,-0.2497,0.0271,0.2767,1619.5744,0.159299,-422.992168,-422.982557,-422.981613,-423.029538,33.21
55094,gdb_55095,NC(=O)C1CC2(O)CC12,3.99635,1.03126,1.02381,2.2703,72.14,-0.2329,0.0295,0.2624,1218.5997,0.147097,-439.085061,-439.076122,-439.075177,-439.118962,33.701
84280,gdb_84281,OC1C=C2COC2C1O,3.21562,1.50217,1.21815,2.4834,69.83,-0.2546,-0.0091,0.2454,1018.7306,0.137054,-458.917158,-458.909729,-458.908785,-458.948839,29.62
82461,gdb_82462,CC12NC3C1NC2C3O,3.23577,1.61578,1.40052,3.6302,74.04,-0.2241,0.0709,0.295,980.8972,0.162082,-419.141804,-419.134656,-419.133712,-419.172851,30.039
132424,gdb_132425,Cc1ccc(oc1=O)F,3.22577,1.36177,0.96319,3.9073,69.21,-0.2321,-0.0543,0.1778,1123.9456,0.099881,-481.859137,-481.8515,-481.850556,-481.891455,28.332
26946,gdb_26947,Cc1c(nc[nH]1)N2CC2,2.97541,1.39856,1.03391,2.8573,80.65,-0.204,0.0337,0.2377,1171.1229,0.149306,-398.143315,-398.135033,-398.134089,-398.176723,30.88
2071,gdb_2072,C1CCNC(=O)C1,4.58293,2.48342,1.72112,3.8712,60.93,-0.2344,0.0337,0.2681,730.3506,0.140017,-325.831718,-325.825313,-325.824368,-325.86207,24.21
118478,gdb_118479,COCC(CO)C(C)O,2.18543,0.96388,0.72475,2.4787,79.47,-0.2473,0.0649,0.3122,1631.2549,0.203031,-462.544503,-462.533184,-462.532239,-462.58175,40.409
97545,gdb_97546,CCC#CC(C)(O)C=O,2.7237,0.7751,0.73026,3.6913,82.8,-0.2449,-0.0321,0.2127,1686.7565,0.154236,-423.010675,-422.999434,-422.998489,-423.048393,38.522
18683,gdb_18684,O=C1COCC2NC12,3.1676,2.3401,1.548,3.5046,61.15,-0.2342,-0.0247,0.2095,804.7185,0.120681,-399.78299,-399.776414,-399.775469,-399.813848,25.031
93532,gdb_93533,OC1CCC(=O)CC1O,2.77438,1.33137,1.0735,1.7763,70.94,-0.2407,-0.0157,0.2249,1148.4183,0.159564,-460.196517,-460.187836,-460.186892,-460.229691,33.452
8332,gdb_8333,CC1CC2(C1)COC2,5.55137,1.18985,1.18526,2.0283,74.85,-0.2412,0.0704,0.3116,1108.7034,0.177088,-348.975562,-348.967512,-348.966568,-349.008498,30.166
36825,gdb_36826,C(C#CC1CC1)C1CO1,4.76473,0.61274,0.57624,1.4065,87.08,-0.2306,0.0504,0.281,1950.1512,0.158204,-385.824686,-385.815367,-385.814423,-385.860986,33.226
10339,gdb_10340,CCC(C[NH3+])C([O-])=O,2.66198,1.6141,1.10082,6.0234,67.86,-0.2478,0.0267,0.2745,1109.7543,0.165823,-402.242247,-402.233316,-402.232372,-402.27585,32.576
102086,gdb_102087,CCC(C=O)C1(C)CC1,1.99618,1.2275,0.98731,2.6939,86.04,-0.2392,-0.02,0.2191,1373.4269,0.203046,-388.295279,-388.284634,-388.283689,-388.331612,38.724
36150,gdb_36151,N#CCC12CN1CCC2,3.78498,1.08702,0.97592,3.6171,78.72,-0.2469,0.0334,0.2803,1242.8757,0.161305,-382.076716,-382.068632,-382.067688,-382.109737,31.016
105227,gdb_105228,CCC1(CC1C)C(C)O,1.63966,1.41065,1.06422,1.4747,88.76,-0.2583,0.075,0.3332,1370.8175,0.226583,-389.486215,-389.475024,-389.47408,-389.522063,41.951
33625,gdb_33626,N#CC12C3NC1C1C3N21,3.52856,1.68442,1.47138,5.4503,69.16,-0.2537,-0.0104,0.2433,877.4216,0.103621,-395.636946,-395.630892,-395.629948,-395.667401,24.338
77524,gdb_77525,CC1C2(C)CC1(O)CC2,2.26792,1.70893,1.2411,1.1982,85.05,-0.2477,0.0764,0.3241,1128.7373,0.205802,-388.295235,-388.28609,-388.285146,-388.327988,36.845
80734,gdb_80735,CC1C2CC(OC12)C#C,4.14246,1.1061,1.08568,1.5119,80.72,-0.2417,0.0357,0.2775,1195.0998,0.158814,-385.841323,-385.83279,-385.831846,-385.874569,32.748
54021,gdb_54022,C(=O)N(C(=N)N)C(=N)N,2.23539,1.57068,1.02193,2.6967,70.03,-0.2441,-0.026,0.2181,1139.0044,0.125529,-467.427284,-467.418511,-467.417567,-467.461089,32.955
376,gdb_377,COC(C)C#C,6.54157,2.38245,1.86601,1.41,55.84,-0.2538,0.0395,0.2933,675.6208,0.116766,-270.38418,-270.376713,-270.375769,-270.415376,25.831
24702,gdb_24703,c1cnc2c(n1)CNC2,3.7165,1.601,1.14528,0.8675,76.94,-0.2288,-0.0496,0.1793,1016.1365,0.129216,-396.976418,-396.96985,-396.968906,-397.007485,25.689
59159,gdb_59160,CC(O)C1C2CC(=O)N12,2.57551,1.49415,1.32047,3.0856,71.64,-0.2436,-0.0081,0.2355,1052.5716,0.146734,-439.062269,-439.053734,-439.05279,-439.095535,32.403
112809,gdb_112810,CCC1CC(C)C1CO,2.4501,1.04028,0.80723,1.2648,89.26,-0.2592,0.0745,0.3337,1542.1808,0.227923,-389.483781,-389.473047,-389.472103,-389.519441,39.929
34494,gdb_34495,C#CC1=NC2(CC2)CO1,4.57409,1.07331,0.93963,1.211,82.2,-0.2294,-0.0303,0.1991,1236.1096,0.123699,-400.713756,-400.705768,-400.704824,-400.74662,30.189
6506,gdb_6507,CC1(C)CC1(N)C#N,2.86366,1.84311,1.39181,5.1168,72.84,-0.2456,0.0316,0.2772,956.071,0.152229,-343.986168,-343.976972,-343.976028,-344.019238,33.893
